z_n,n,i,p,t
100,100,100,1,0.06418538093566895
100,100,100,1,0.0651390552520752
100,100,100,1,0.057971954345703125
100,100,100,2,0.041899681091308594
100,100,100,2,0.04149675369262695
100,100,100,2,0.04052543640136719
100,99,100,3,0.03878188133239746
100,99,100,3,0.038779258728027344
100,99,100,3,0.039640188217163086
100,100,100,4,0.04262828826904297
100,100,100,4,0.034759521484375
100,100,100,4,0.03430581092834473
100,100,100,5,0.03208303451538086
100,100,100,5,0.03289389610290527
100,100,100,5,0.03206467628479004
100,96,100,6,0.029165029525756836
100,96,100,6,0.02949976921081543
100,96,100,6,0.029886484146118164
100,98,100,7,0.0393829345703125
100,98,100,7,0.039246320724487305
100,98,100,7,0.03938698768615723
100,96,100,8,0.03769683837890625
100,96,100,8,0.038272857666015625
100,96,100,8,0.03806471824645996
100,99,100,9,0.03651547431945801
100,99,100,9,0.03707551956176758
100,99,100,9,0.04072070121765137
100,100,100,10,0.221221923828125
100,100,100,10,0.22121191024780273
100,100,100,10,0.22821354866027832
100,100,100,11,0
100,100,100,11,0
100,100,100,11,0
100,100,100,12,0
100,100,100,12,0
100,100,100,12,0
1000,1000,100,1,0.585860013961792
1000,1000,100,1,0.5820953845977783
1000,1000,100,1,0.5911412239074707
1000,1000,100,2,0.2985072135925293
1000,1000,100,2,0.30678701400756836
1000,1000,100,2,0.30330991744995117
1000,999,100,3,0.21541738510131836
1000,999,100,3,0.21511292457580566
1000,999,100,3,0.21904683113098145
1000,1000,100,4,0.16501379013061523
1000,1000,100,4,0.165008544921875
1000,1000,100,4,0.16434025764465332
1000,1000,100,5,0.14143157005310059
1000,1000,100,5,0.13852596282958984
1000,1000,100,5,0.14104533195495605
1000,996,100,6,0.11885476112365723
1000,996,100,6,0.12032270431518555
1000,996,100,6,0.11861109733581543
1000,994,100,7,0.1446986198425293
1000,994,100,7,0.14161467552185059
1000,994,100,7,0.14316058158874512
1000,1000,100,8,0.13156795501708984
1000,1000,100,8,0.13141560554504395
1000,1000,100,8,0.12882041931152344
1000,999,100,9,0.11835265159606934
1000,999,100,9,0.12361454963684082
1000,999,100,9,0.1217660903930664
1000,1000,100,10,0.2433321475982666
1000,1000,100,10,0.28183603286743164
1000,1000,100,10,0.24103140830993652
1000,990,100,11,0.22702884674072266
1000,990,100,11,0.2109227180480957
1000,990,100,11,0.22519946098327637
1000,996,100,12,0.09637618064880371
1000,996,100,12,0.09671497344970703
1000,996,100,12,0.09821248054504395
100000,100000,100,1,55.21535849571228
100000,100000,100,1,53.855655908584595
100000,100000,100,1,57.19836163520813
100000,100000,100,2,29.30406093597412
100000,100000,100,2,30.383469581604004
100000,100000,100,2,30.588686227798462
100000,99999,100,3,19.542034149169922
100000,99999,100,3,19.530380964279175
100000,99999,100,3,19.95619487762451
100000,100000,100,4,14.540236234664917
100000,100000,100,4,14.92539095878601
100000,100000,100,4,15.019890308380127
100000,100000,100,5,12.192716836929321
100000,100000,100,5,12.156169176101685
100000,100000,100,5,12.193739414215088
100000,99996,100,6,10.230623722076416
100000,99996,100,6,10.179967880249023
100000,99996,100,6,10.183286428451538
100000,99995,100,7,11.542598485946655
100000,99995,100,7,12.029932022094727
100000,99995,100,7,11.459472417831421
100000,100000,100,8,9.90571928024292
100000,100000,100,8,10.182811260223389
100000,100000,100,8,9.974087238311768
100000,99999,100,9,9.696654796600342
100000,99999,100,9,9.181217908859253
100000,99999,100,9,9.001579761505127
100000,100000,100,10,15.424331188201904
100000,100000,100,10,15.35585904121399
100000,100000,100,10,15.412919282913208
100000,99990,100,11,13.686819076538086
100000,99990,100,11,13.688827276229858
100000,99990,100,11,13.48781704902649
100000,99996,100,12,6.964218616485596
100000,99996,100,12,7.082872152328491
100000,99996,100,12,6.899047613143921
