z_n,n,i,p,t
1000,1000,100,1,0.34360170364379883
1000,1000,100,1,0.4412212371826172
1000,1000,100,1,0.3872518539428711
1000,1000,100,2,0.2639946937561035
1000,1000,100,2,0.28535008430480957
1000,1000,100,2,0.2625284194946289
1000,999,100,3,0.21968364715576172
1000,999,100,3,0.19896936416625977
1000,999,100,3,0.17770814895629883
1000,1000,100,4,0.17951345443725586
1000,1000,100,4,0.12975502014160156
1000,1000,100,4,0.1739192008972168
1000,1000,100,5,0.12985992431640625
1000,1000,100,5,0.15189099311828613
1000,1000,100,5,0.15341877937316895
1000,996,100,6,0.07311177253723145
1000,996,100,6,0.1326286792755127
1000,996,100,6,0.13226556777954102
1000,994,100,7,0.11538863182067871
1000,994,100,7,0.11120748519897461
1000,994,100,7,0.11396479606628418
1000,1000,100,8,0.06326127052307129
1000,1000,100,8,0.05847525596618652
1000,1000,100,8,0.10586714744567871
1000,999,100,9,0.05402779579162598
1000,999,100,9,0.09828424453735352
1000,999,100,9,0.05449032783508301
1000,1000,100,10,0.04985928535461426
1000,1000,100,10,0.08916902542114258
1000,1000,100,10,0.049602508544921875
1000,990,100,11,0.04721784591674805
1000,990,100,11,0.04685616493225098
1000,990,100,11,0.04711604118347168
1000,996,100,12,0.07970857620239258
1000,996,100,12,0.07914471626281738
1000,996,100,12,0.0699148178100586
10000,10000,100,1,3.365520477294922
10000,10000,100,1,3.324723720550537
10000,10000,100,1,3.357229232788086
10000,10000,100,2,1.7814335823059082
10000,10000,100,2,1.7837209701538086
10000,10000,100,2,1.7418930530548096
10000,9999,100,3,1.197319507598877
10000,9999,100,3,1.1379079818725586
10000,9999,100,3,1.1249089241027832
10000,10000,100,4,0.9215202331542969
10000,10000,100,4,0.9561383724212646
10000,10000,100,4,0.8573548793792725
10000,10000,100,5,0.7814664840698242
10000,10000,100,5,0.7646715641021729
10000,10000,100,5,0.7786054611206055
10000,9996,100,6,0.6759531497955322
10000,9996,100,6,0.6311769485473633
10000,9996,100,6,0.5953283309936523
10000,9996,100,7,0.5266985893249512
10000,9996,100,7,0.5136282444000244
10000,9996,100,7,0.5641415119171143
10000,10000,100,8,0.4610016345977783
10000,10000,100,8,0.44615674018859863
10000,10000,100,8,0.5279281139373779
10000,9999,100,9,0.4904003143310547
10000,9999,100,9,0.49634552001953125
10000,9999,100,9,0.473919153213501
10000,10000,100,10,0.4458811283111572
10000,10000,100,10,0.3614673614501953
10000,10000,100,10,0.4396810531616211
10000,9999,100,11,0.36787939071655273
10000,9999,100,11,0.3751089572906494
10000,9999,100,11,0.4265248775482178
10000,9996,100,12,0.35474300384521484
10000,9996,100,12,0.34766077995300293
10000,9996,100,12,0.36293745040893555
100000,100000,100,1,32.597137689590454
100000,100000,100,1,32.79524230957031
100000,100000,100,1,32.663501501083374
100000,100000,100,2,16.648300170898438
100000,100000,100,2,16.5303213596344
100000,100000,100,2,16.72693967819214
100000,99999,100,3,11.07857370376587
100000,99999,100,3,11.157017946243286
100000,99999,100,3,11.095394611358643
100000,100000,100,4,8.231392860412598
100000,100000,100,4,8.226859092712402
100000,100000,100,4,8.354945659637451
100000,100000,100,5,6.8568737506866455
100000,100000,100,5,6.929861545562744
100000,100000,100,5,6.921703100204468
100000,99996,100,6,5.801157236099243
100000,99996,100,6,5.871814966201782
100000,99996,100,6,5.803791046142578
100000,99995,100,7,4.942857980728149
100000,99995,100,7,4.980317115783691
100000,99995,100,7,4.944797992706299
100000,100000,100,8,4.382575988769531
100000,100000,100,8,4.30536961555481
100000,100000,100,8,4.385490417480469
100000,99999,100,9,3.944262742996216
100000,99999,100,9,3.847433567047119
100000,99999,100,9,3.846411943435669
100000,100000,100,10,3.5016653537750244
100000,100000,100,10,3.532195806503296
100000,100000,100,10,3.5300486087799072
100000,99990,100,11,3.2265219688415527
100000,99990,100,11,3.2122185230255127
100000,99990,100,11,3.202291965484619
100000,99996,100,12,2.9405157566070557
100000,99996,100,12,2.9959774017333984
100000,99996,100,12,2.934067964553833
