z_n,n,i,p,t
10000,10000,100,1,1.8032333850860596
10000,10000,100,1,1.8363621234893799
10000,10000,100,1,1.8234617710113525
10000,10000,100,2,0.9636611938476562
10000,10000,100,2,0.9679062366485596
10000,10000,100,2,0.9292547702789307
10000,9999,100,3,1.2433784008026123
10000,9999,100,3,1.2125189304351807
10000,9999,100,3,1.1945445537567139
10000,10000,100,4,1.0218212604522705
10000,10000,100,4,0.9955458641052246
10000,10000,100,4,0.9878413677215576
100000,100000,100,1,19.172624349594116
100000,100000,100,1,18.4567551612854
100000,100000,100,1,18.994356393814087
100000,100000,100,2,10.203842163085938
100000,100000,100,2,9.831016063690186
100000,100000,100,2,10.565977096557617
100000,99999,100,3,14.369513273239136
100000,99999,100,3,14.00166368484497
100000,99999,100,3,13.252325057983398
100000,100000,100,4,11.520529985427856
100000,100000,100,4,13.855280637741089
100000,100000,100,4,12.769654750823975
1000000,1000000,100,1,201.73171401023865
1000000,1000000,100,1,196.3288185596466
1000000,1000000,100,1,201.2255973815918
1000000,1000000,100,2,110.41701078414917
1000000,1000000,100,2,115.80806970596313
1000000,1000000,100,2,122.8340847492218
1000000,999999,100,3,141.59610390663147
1000000,999999,100,3,138.1974859237671
1000000,999999,100,3,136.29561591148376
1000000,1000000,100,4,125.58851957321167
1000000,1000000,100,4,124.6021683216095
1000000,1000000,100,4,115.8708324432373
